CCTV명,주소,위도,경도
KTB네트워크빌딩 주변,역삼동 826-14,37.4950386,127.0297037
어울림아파트 주변,역삼동 835-67,37.4920842,127.0348905
라움 주변,역삼동 680-1,37.5083107,127.0397883
경복아파트R 주변,역삼동 653-3,37.5055798,127.0414738
Why.J.빌딩 주변,역삼동 751-14,37.4947317,127.0350328
롯데캐슬노블 주변,역삼동 835-68,37.4923088,127.035776
공영노외주차장 주변,역삼동 795-25,37.4924958,127.0387954
황화빌딩 주변,역삼동 832-7,37.4918902,127.0309525
서림빌딩 주변,역삼동 649-10,37.4990759,127.0298871
역삼푸르지오시티 주변,역삼동 735-18,37.4981764,127.0336436
역삼한스빌아파트 주변,도곡로3길 26,37.4919748,127.0329997
한국과학기술회관 주변,역삼동 635-2,37.500961,127.0306229
충현복지관 주변,역삼동 669-10,37.5035967,127.0367954
아티스타 강남본점 주변,역삼동 617-6,37.5032706,127.0278764
바나프레소 역삼대로점 주변,역삼동 738-27,37.4984209,127.0377739
소닉모터스 주변,역삼동 834-68,37.4930506,127.0350865
금융결제원본사 주변,역삼동 717,37.500255,127.0380871
I'Tower 주변,역삼동 707-27,37.5041073,127.0475882
유진약국 주변,역삼동 773-8,37.4967531,127.0450691
현대까르띠에아파트 주변,역삼동 710,37.5014704,127.0449215
역삼동성당 주변,역삼동 722-9,37.5004479,127.0418239
센트레빌아파트 주변,역삼동 716,37.5024375,127.0493601
역삼e-편한세상A 주변,역삼동 755-4,37.4987773,127.0498786
역삼2동주민센터 주변,도곡로43길 20,37.4964997,127.0481475
테헤란아이파크 주변,역삼동 710,37.5014704,127.0449215
테헤란오피스텔빌딩 주변,역삼동 707-38,37.5032337,127.0471914
이마트역삼점 주변,역삼동 755,37.499217,127.0484398
양자강 주변,역삼동 719-9,37.5010982,127.0402477
역삼3차아이파크아파트 105동 주변,역삼동 709-5,37.5023526,127.0467285
역삼장미공원 주변,역삼동 780-25,37.4953422,127.0447391
일원치안센터 주변,일원동 663-3,37.4922354,127.0837415
일원1동주민센터 주변,일원동 644-3,37.4914957,127.0876816
삼성의료원앞R 주변,일원동 687,37.4892875,127.0818187
원일빌딩 주변,일원동 639-7,37.4954124,127.0857036
중산고교입구R 주변,일원본동 713,37.4857714,127.0823193
한솔종합상가 주변,일원동 731,37.4818897,127.0775108
제이스프라자 주변,수서동 595,37.4840109,127.0942831
강남유정유치원 앞 주변,수서동 591-4,37.4829842,127.0949371
강남더샾포레스트아파트 202동 앞 주변,수서동 537,37.4812892,127.0950728
왕복초 건너편 주변,수서동 746,37.4847337,127.0876186
대모초등학교 정문 주변,일원동 736,37.4811396,127.0862343
YBM청담빌딩 주변,청담동 78-18,37.5272366,127.0416602
페라가모전시장 주변,청담동 141-15,37.5270946,127.0446643
영화빌딩 주변,청담동 46-9,37.5189091,127.0490891
청담역8번출구 주변,청담동 47-4,37.5190516,127.0496782
리임빌딩 주변,청담동 76,37.5199028,127.050043
디자이너클럽 주변,청담동 85-17,37.5246056,127.0398785
대신빌딩 주변,청담동 120-3,37.5247543,127.0485309
모나미빌딩 주변,청담동 125-22,37.524866,127.050373
피앤폴루스 주변,청담동 4-8,37.5233934,127.0436578
일식긴자 주변,청담동 52-2,37.5243842,127.0518429
송은아트스페이스 주변,청담동 118-3,37.5261327,127.0468927
원일빌딩 주변,청담동 43-9,37.5181161,127.0446457
강남세무서 주변,청담동 45,37.5187271,127.0470845
청담복집 주변,청담동 68-6,37.50727,127.0639018
현대아파트상가 주변,청담동 23,37.5214383,127.0405995
청담삼익아파트 주변,청담동 134-21,37.5215495,127.0585558
카페마룬에프 주변,청담동 91-8,37.524018,127.0427803
태그호이어 주변,청담동 84-8,37.5258381,127.0402309
영동대교남단R,청담동 53-8,37.5243933,127.0538813
선릉로190길 주변,청담동 127-31,37.526923,127.0530712
청담2치안센터 주변,청담동 8,37.5227271,127.0478605
한국마사회강남지사 주변,청담동 125-17,37.5250996,127.0516021
더청담 주변,청담동 4,37.5234121,127.0433302
청담자이아파트 주변,청담동 134-38,37.5236009,127.0571953
청담삼익11동앞 주변,청담동134-18,37.5215495,127.0585558
청담현대2차아파트 주변,청담동 21-17,37.5214383,127.0405995
청담빌라 주변,청담동 95,37.52531,127.0447084
이니그마빌 주변,청담동 94,37.525541,127.0435576
유경빌딩 주변,청담동 76-11,37.5195534,127.050663
피엔폴루스뒷길 주변,청담동 4-1,37.5233934,127.0436578
청담매스터빌 주변,청담동 141-1,37.5275724,127.0441421
승원빌딩 주변,청담동 91,37.5241419,127.0414176
아트인빌딩 주변,청담동 57-2,37.5238155,127.0516185
새벽별비전센터 주변,청담동 13-1,37.523062,127.0454989
한신오페라하우스2차아파트 주변,학동로 63길 14,37.5188936,127.0453393
청담빌딩 주변,청담동 52,37.52418,127.0510513
디아트주상복합 주변,청담동 124-11,37.5250243,127.0498239
청담현대아파트 104동 주변,청담동 127-31,37.526923,127.0530712
호텔엔트라 주변,청담동 48-3,37.5240354,127.0484871
청담2차이편한세상아파트 202동 주변,청담동 14,37.5214022,127.0453907
청담초 정문 주변,청담동 142,37.5279801,127.0450373
언북초등학교정문  건너편 주변,청담동 36-8,37.5191843,127.0445647
청담자이아파트 101동 주변,청담동 134-38,37.5236009,127.0571953
청담삼성아파트 정문 주변,청담동 33,37.519434,127.04784
언북초등학교 후문 주변,청담동 27,37.5199691,127.0456266
청담영풍마드레빌아파트 주변,청담동 36-8,37.5191843,127.0445647
