Column1,Latitude,Longitude
신사동 627-9,37.5235332,127.0230659
압구정동 513,37.5271478,127.0334517
신사동 632,37.5235332,127.0230659
압구정동 518,37.5271478,127.0334517
압구정동 459,37.5271478,127.0334517
신사동 587-23,37.5235332,127.0230659
압구정동 490,37.5271478,127.0334517
압구정동 509,37.5271478,127.0334517
역삼동 826-37,37.4953995,127.030406
역삼동 676,37.5032113,127.0414917
역삼동 677-25,37.5023658,127.0407171
역삼동 644-18,37.5012956,127.0349785
역삼동 668-17,37.5023605,127.036499
역삼동 678-35,37.5016206,127.0383999
역삼동 737,37.4998097,127.0366289
역삼동 738-9,37.4991461,127.037422
역삼동 653,37.5081093,127.0375244
역삼동 654-4,37.5069711,127.0395995
역삼동 689-7,37.5059845,127.0414954
역삼동 696-43,37.5057001,127.0481466
역삼동 700-6,37.5043764,127.0423359
역삼동 701-14,37.5041393,127.043714
역삼동 824-19,37.4984292,127.0305581
역삼동 824-29,37.4974156,127.0315615
역삼동 827-68,37.4957347,127.032288
역삼동 829-15,37.4942597,127.0335542
역삼동 705-10,37.5044746,127.0475761
역삼동 820-9,37.4990329,127.0276653
역삼동 646-20,37.5005345,127.0346821
역삼동 826-14,37.4950386,127.0297037
역삼동 835-67,37.4920842,127.0348905
역삼동 680-1,37.5083107,127.0397883
역삼동 653-3,37.5083362,127.0383195
역삼동 751-14,37.4947317,127.0350328
역삼동 835-68,37.4923088,127.035776
역삼동 795-25,37.4924958,127.0387954
역삼동 832-7,37.4918902,127.0309525
역삼동 649-10,37.4990759,127.0298871
역삼동 735-18,37.4980572,127.0337387
역삼동666-2,37.5046946,127.0365225
역삼동 615-4,37.5044764,127.0277434
역삼동 635-2,37.500961,127.0306229
역삼동 669-10,37.5037177,127.0370278
역삼동 617-6,37.5032706,127.0278764
역삼동 738-27,37.4984209,127.0377739
역삼동 834-68,37.4930506,127.0350865
역삼동 717,37.500255,127.0380871
역삼동 707-27,37.503531,127.0470524
역삼동 755-10,37.5002788,127.0506877
역삼동 773-8,37.4967531,127.0450691
역삼동 788,37.4934603,127.0406352
역삼동 710,37.5014704,127.0449215
역삼동 722-9,37.5004479,127.0418239
역삼동 716,37.5024375,127.0493601
역삼동 755-4,37.4987773,127.0498786
도곡로43길 20,37.4964997,127.0481475
역삼동 783-21,37.4944945,127.044338
역삼동 710,37.5014704,127.0449215
역삼동 707-38,37.5032337,127.0471914
역삼동 755,37.499217,127.0484398
역삼동 719-9,37.5010982,127.0402477
역삼동 709-5,37.5023526,127.0467285
역삼동 780-25,37.4953422,127.0447391
일원동 663-3,37.4922354,127.0837415
일원동 644-3,37.4914957,127.0876816
일원동 701-2,37.4935436,127.0868902
일원동 687,37.4892875,127.0818187
일원동 639-7,37.4954124,127.0857036
일원동 690-2,37.48997,127.0774559
일원본동 713,37.4857714,127.0823193
일원동 731,37.4818897,127.0775108
수서동 595,37.4840818,127.0938999
수서동 590,37.4828232,127.0944161
일원동 184-13,37.4867254,127.0825811
수서동 591-4,37.4830995,127.0944331
수서동 537,37.4797637,127.0949335
수서동 746,37.4847337,127.0876186
일원동 736,37.4811396,127.0862343
청담동 78-18,37.5233931,127.0479736
청담동 141-15,37.5233931,127.0479736
청담동 46-9,37.5233931,127.0479736
청담동 47-4,37.5233931,127.0479736
청담동 76,37.5233931,127.0479736
청담동 85-17,37.5233931,127.0479736
청담동 120-3,37.5233931,127.0479736
청담동 4-8,37.5233931,127.0479736
청담동 52-2,37.5233931,127.0479736
청담동 118-3,37.5233931,127.0479736
청담동 43-9,37.5233931,127.0479736
청담동 45,37.5233931,127.0479736
청담동 68-6,37.5233931,127.0479736
청담동 3,37.5233931,127.0479736
청담동 23,37.5233931,127.0479736
청담동 134-21,37.5233931,127.0479736
청담동 91-8,37.5233931,127.0479736
청담동 84-8,37.5233931,127.0479736
청담동 139-28,37.5233931,127.0479736
청담동 53-8,37.5233931,127.0479736
청담동 127-31,37.5233931,127.0479736
청담동 8,37.5233931,127.0479736
청담동 4,37.5233931,127.0479736
청담동 134-38,37.5233931,127.0479736
청담동134-18,37.5233931,127.0479736
청담동 21-17,37.5233931,127.0479736
청담동 95,37.5233931,127.0479736
청담동 94,37.5233931,127.0479736
청담동 76-11,37.5233931,127.0479736
청담동 4-1,37.5233931,127.0479736
청담동 141-1,37.5233931,127.0479736
청담동 91,37.5233931,127.0479736
청담동 57-2,37.5233931,127.0479736
청담동 13-1,37.5233931,127.0479736
청담동 66,37.5233931,127.0479736
청담동 52,37.5233931,127.0479736
청담동 124-11,37.5233931,127.0479736
청담동 127-31,37.5233931,127.0479736
청담동 48-3,37.5233931,127.0479736
청담동 14,37.5233931,127.0479736
청담동 142,37.5233931,127.0479736
청담동 36-8,37.5233931,127.0479736
청담동 134-38,37.5233931,127.0479736
청담동 33,37.5233931,127.0479736
청담동 27,37.5233931,127.0479736
청담동 36-8,37.5233931,127.0479736
